numb,stpost,fips,year,code,eg_adj,eg_adj_avg,bias,mmd,wasted_dem,wasted_rep,votes_dem,votes_twop,votepct_dem,median_dem,seats,seats_dem,seatpct_dem,oseats,seats_contested,commission,court,divided,unified_dem,unified_rep,unified,non-unified,redist.year,plan,firstelection,planelections,dw-nom_med,dw-nom_med_lag,dw-nom_avg,pop_black,pop_hisp,seats_black,seats_hisp,urbanization,section 5,wrongwin
346,NY,36,2012,NY2012,-0.013,-0.005,-0.019,0.011,1711172,1478799,4118343,6379944,0.646,0.657,27,21,0.778,0,26,0,1,0,0,0,0,1,2012,NY5,1,3,-0.354,-0.34,-0.176,0.143,0.181,0.148,0.074,0.880,0,
347,NY,36,2014,NY2014,0.064,-0.005,-0.031,0.013,962073,979797,2141545,3883740,0.551,0.564,27,18,0.667,0,17,0,1,0,0,0,0,1,2012,NY5,0,3,,-0.354,,0.142,0.186,0.148,0.074,0.881,0,
348,NY,36,2016,NY2016,-0.065,-0.005,0.010,0.055,2086026,1471677,4382270,7115402,0.616,0.671,27,18,0.667,,23,0,1,0,0,0,0,1,2012,NY5,0,3,,,,0.142,0.191,0.111,0.111,0.881,0,
349,OH,39,1972,OH1972,-0.127,-0.051,-0.112,-0.063,1222305,699908,1789586,3844427,0.466,0.403,23,7,0.304,0,21,0,0,1,0,0,0,1,1972,OH1,1,5,0.1155,,0.016,0.093,0.009,0.043,0.000,0.749,0,
350,OH,39,1974,OH1974,-0.152,-0.051,-0.152,-0.028,976524,467082,1443626,2887216,0.500,0.472,23,8,0.348,0,22,0,0,1,0,0,0,1,1972,OH1,0,5,0.078,0.1155,0.012,0.094,0.010,0.043,0.000,0.745,0,Y
351,OH,39,1976,OH1976,-0.028,-0.051,-0.026,-0.049,1022962,869096,1821595,3784116,0.481,0.432,23,10,0.435,0,22,0,0,1,0,0,0,1,1972,OH1,0,5,0.071,0.078,-0.013,0.096,0.010,0.043,0.000,0.741,0,
352,OH,39,1978,OH1978,-0.005,-0.051,-0.022,-0.039,751532,644484,1311637,2792040,0.470,0.431,23,10,0.435,0,21,0,0,1,0,0,0,1,1972,OH1,0,5,0.064,0.071,0.004,0.097,0.011,0.043,0.000,0.737,0,
353,OH,39,1980,OH1980,0.057,-0.051,-0.035,-0.019,924448,1080067,1758547,4009032,0.439,0.419,23,10,0.435,0,21,0,0,1,0,0,0,1,1972,OH1,0,5,0.0995,0.064,0.041,0.099,0.011,0.043,0.000,0.733,0,
354,OH,39,1982,OH1982,-0.092,-0.010,-0.025,-0.051,991081,670264,1775041,3322692,0.534,0.484,21,10,0.476,0,19,0,0,1,0,0,0,1,1982,OH2,1,2,0.007,0.0995,-0.015,0.100,0.011,0.048,0.000,0.735,0,Y
355,OH,39,1984,OH1984,0.073,-0.010,0.024,0.063,925688,1264362,2081480,4380100,0.475,0.538,21,11,0.524,0,19,0,0,1,0,0,0,1,1982,OH2,0,2,-0.109,0.007,-0.025,0.102,0.012,0.048,0.000,0.736,0,Y
356,OH,39,1986,OH1986,0.036,0.009,0.024,0.043,741393,809128,1532386,3101036,0.494,0.537,21,11,0.524,0,19,0,0,1,0,0,0,1,1986,OH2.1,1,3,-0.116,-0.109,-0.009,0.103,0.012,0.048,0.000,0.738,0,Y
357,OH,39,1988,OH1988,0.008,0.009,0.024,0.057,1049581,1058740,2140701,4216644,0.508,0.565,21,11,0.524,0,20,0,0,1,0,0,0,1,1986,OH2.1,0,3,-0.122,-0.116,-0.013,0.105,0.013,0.048,0.000,0.739,0,
358,OH,39,1990,OH1990,-0.017,0.009,-0.025,-0.009,898818,821667,1790406,3440972,0.520,0.511,21,11,0.524,0,20,0,0,1,0,0,0,1,1986,OH2.1,0,3,-0.102,-0.122,0.004,0.106,0.013,0.048,0.000,0.741,0,
359,OH,39,1992,OH1992,0.014,-0.024,-0.007,0.001,1100652,1156439,2285674,4514180,0.506,0.507,19,10,0.526,0,18,0,0,1,0,0,0,1,1992,OH3,1,5,-0.061,-0.102,0.034,0.108,0.014,0.053,0.000,0.748,0,
360,OH,39,1994,OH1994,-0.067,-0.024,-0.009,-0.002,956958,715123,1476861,3344161,0.442,0.439,19,6,0.316,0,16,0,0,1,0,0,0,1,1992,OH3,0,5,0.325,-0.061,0.188,0.109,0.015,0.053,0.000,0.754,0,
361,OH,39,1996,OH1996,-0.014,-0.024,-0.028,-0.023,1106369,1014557,1983814,4241850,0.468,0.445,19,8,0.421,0,18,0,0,1,0,0,0,1,1992,OH3,0,5,0.315,0.325,0.119,0.111,0.017,0.053,0.000,0.761,0,
362,OH,39,1998,OH1998,-0.032,-0.024,-0.079,-0.079,921241,751918,1593873,3346316,0.476,0.397,19,8,0.421,0,19,0,0,1,0,0,0,1,1992,OH3,0,5,0.337,0.315,0.128,0.112,0.018,0.053,0.000,0.767,0,
363,OH,39,2000,OH2000,-0.021,-0.024,-0.079,-0.018,1168980,983086,2027455,4304130,0.471,0.453,19,8,0.421,0,18,0,0,1,0,0,0,1,1992,OH3,0,5,0.359,0.337,0.152,0.114,0.019,0.053,0.000,0.774,0,
364,OH,39,2002,OH2002,-0.047,-0.083,-0.166,-0.097,866709,702487,1381636,3138396,0.440,0.343,18,6,0.333,0,17,0,0,0,0,1,1,0,2002,OH4,1,5,0.3905,0.359,0.198,0.115,0.021,0.056,0.000,0.775,0,
365,OH,39,2004,OH2004,-0.105,-0.083,-0.167,-0.079,1625067,1018011,2480766,5286154,0.469,0.390,18,6,0.333,0,16,0,0,0,0,1,1,0,2002,OH4,0,5,0.422,0.3905,0.233,0.116,0.024,0.056,0.000,0.776,0,
366,OH,39,2006,OH2006,-0.165,-0.083,-0.111,-0.041,1354464,621601,2081737,3952127,0.527,0.486,18,7,0.389,0,18,0,0,0,0,1,1,0,2002,OH4,0,5,0.427,0.422,0.249,0.118,0.026,0.056,0.000,0.777,0,Y
367,OH,39,2008,OH2008,0.006,-0.083,-0.056,-0.010,1345746,1276060,2752111,5243609,0.525,0.515,18,10,0.556,0,18,0,0,0,0,1,1,0,2002,OH4,0,5,-0.1595,0.427,0.098,0.119,0.029,0.056,0.000,0.778,0,
368,OH,39,2010,OH2010,-0.102,-0.083,-0.111,-0.009,1145050,687045,1611112,3664187,0.440,0.431,18,5,0.278,0,18,0,0,0,0,1,1,0,2002,OH4,0,5,0.607,-0.1595,0.330,0.120,0.031,0.056,0.000,0.779,0,
369,OH,39,2012,OH2012,-0.230,-0.132,-0.249,-0.074,1925464,648827,2522889,5148579,0.490,0.416,16,4,0.250,0,14,0,0,0,0,1,1,0,2012,OH5,1,3,0.6545,0.607,0.418,0.121,0.033,0.125,0.000,0.780,0,
370,OH,39,2014,OH2014,-0.080,-0.132,-0.249,-0.074,915939,579650,1241863,2991179,0.415,0.342,16,4,0.250,0,15,0,0,0,0,1,1,0,2012,OH5,0,3,,0.6545,,0.122,0.036,0.125,0.000,0.781,0,
371,OH,39,2016,OH2016,-0.087,-0.132,-0.250,-0.080,1562314,1012953,2154523,5150540,0.418,0.338,16,4,0.250,0,16,0,0,0,0,1,1,0,2012,OH5,0,3,,,,0.124,0.038,0.125,0.000,0.782,0,
372,PA,42,1972,PA1972,0.044,0.013,0.020,0.071,1018526,1208638,2172844,4454328,0.488,0.558,25,13,0.520,0,25,0,0,0,1,0,1,0,1972,PA1,1,5,-0.238,,-0.110,0.086,0.006,0.040,0.000,0.711,0,Y
373,PA,42,1974,PA1974,-0.080,0.013,0.011,0.011,991157,705832,1935030,3393976,0.570,0.581,25,14,0.560,0,24,0,0,0,1,0,1,0,1972,PA1,0,5,-0.28,-0.238,-0.134,0.087,0.007,0.040,0.000,0.706,0,
374,PA,42,1976,PA1976,0.064,0.013,0.009,0.007,991976,1229346,2479621,4442641,0.558,0.565,25,17,0.680,1,24,0,0,0,1,0,1,0,1972,PA1,0,5,-0.233,-0.28,-0.153,0.087,0.009,0.040,0.000,0.702,0,
375,PA,42,1978,PA1978,0.076,0.013,0.060,0.017,767108,995801,1805498,3525816,0.512,0.529,25,15,0.600,0,25,0,0,0,1,0,1,0,1972,PA1,0,5,-0.174,-0.233,-0.117,0.087,0.011,0.040,0.000,0.697,0,
376,PA,42,1980,PA1980,-0.038,0.013,0.020,0.022,1134687,1064737,2239156,4398843,0.509,0.531,25,12,0.480,2,22,0,0,0,1,0,1,0,1972,PA1,0,5,-0.054,-0.174,-0.067,0.087,0.013,0.040,0.000,0.693,0,Y
377,PA,42,1982,PA1982,-0.015,-0.015,-0.032,-0.033,873904,931346,1950381,3610494,0.540,0.507,23,13,0.565,0,22,0,0,0,0,1,1,0,1982,PA2,1,5,-0.16,-0.054,-0.078,0.088,0.014,0.043,0.000,0.692,0,
378,PA,42,1984,PA1984,0.011,-0.015,-0.026,-0.018,1074042,1246738,2446404,4641556,0.527,0.509,23,13,0.565,0,22,0,0,0,0,1,1,0,1982,PA2,0,5,-0.153,-0.16,-0.066,0.088,0.016,0.043,0.000,0.691,0,
379,PA,42,1986,PA1986,-0.041,-0.015,0.021,0.019,905278,788011,1799320,3386579,0.531,0.550,23,12,0.522,0,18,0,0,0,0,1,1,0,1982,PA2,0,5,-0.076,-0.153,-0.034,0.089,0.017,0.043,0.000,0.691,0,
380,PA,42,1988,PA1988,0.009,-0.015,0.022,0.071,1083306,1127789,2239463,4422196,0.506,0.578,23,12,0.522,2,18,0,0,0,0,1,1,0,1982,PA2,0,5,-0.067,-0.076,-0.026,0.089,0.019,0.043,0.000,0.690,0,
381,PA,42,1990,PA1990,-0.039,-0.015,-0.022,-0.023,822190,677327,1524793,2999031,0.508,0.486,23,11,0.478,3,17,0,0,0,0,1,1,0,1982,PA2,0,5,0.053,-0.067,-0.015,0.090,0.020,0.043,0.000,0.689,0,Y
382,PA,42,1992,PA1992,0.004,-0.006,-0.061,-0.007,1158860,1164712,2369538,4647147,0.510,0.503,21,11,0.524,0,17,0,1,0,0,0,0,1,1992,PA3,1,5,-0.05,0.053,-0.007,0.092,0.022,0.048,0.000,0.705,0,
383,PA,42,1994,PA1994,0.032,-0.006,0.011,0.006,788853,886098,1662013,3349906,0.496,0.502,21,11,0.524,0,17,0,1,0,0,0,0,1,1992,PA3,0,5,-0.18,-0.05,0.004,0.093,0.025,0.048,0.000,0.722,0,Y
384,PA,42,1996,PA1996,-0.020,-0.006,0.024,0.017,1149287,980899,2222863,4260371,0.522,0.539,21,11,0.524,0,21,0,1,0,0,0,0,1,1992,PA3,0,5,-0.2,-0.18,-0.003,0.095,0.027,0.048,0.000,0.738,0,
385,PA,42,1998,PA1998,0.009,-0.006,0.018,0.018,758532,734786,1515976,2986636,0.508,0.525,21,11,0.524,0,17,0,1,0,0,0,0,1,1992,PA3,0,5,-0.198,-0.2,0.063,0.096,0.030,0.048,0.000,0.755,0,
386,PA,42,2000,PA2000,-0.053,-0.006,-0.033,-0.040,1360907,979676,2407945,4681168,0.514,0.474,21,10,0.476,0,17,0,1,0,0,0,0,1,1992,PA3,0,5,0.324,-0.198,0.121,0.098,0.032,0.048,0.000,0.771,0,Y
387,PA,42,2002,PA2002,-0.074,-0.055,-0.095,-0.073,1037446,707632,1644240,3490155,0.471,0.399,19,7,0.368,0,13,0,0,0,0,1,1,0,2002,PA4,1,5,0.391,0.324,0.209,0.099,0.037,0.053,0.000,0.774,0,
388,PA,42,2004,PA2004,-0.120,-0.055,-0.127,-0.087,1748027,985397,2701491,5466846,0.494,0.407,19,7,0.368,0,13,0,0,0,0,1,1,0,2002,PA4,0,5,0.427,0.391,0.204,0.101,0.042,0.053,0.000,0.777,0,
389,PA,42,2006,PA2006,-0.033,-0.055,-0.111,-0.036,1064020,941172,2228704,4010387,0.556,0.519,19,11,0.579,0,17,0,0,0,0,1,1,0,2002,PA4,0,5,-0.137,0.427,0.067,0.102,0.047,0.053,0.000,0.781,0,
390,PA,42,2008,PA2008,0.032,-0.055,0.024,0.009,1361473,1515651,3164711,5754250,0.550,0.559,19,12,0.632,0,18,0,0,0,0,1,1,0,2002,PA4,0,5,-0.199,-0.137,0.017,0.104,0.052,0.053,0.000,0.784,0,
391,PA,42,2010,PA2010,-0.082,-0.055,-0.132,-0.027,1172353,801958,1875448,3948622,0.475,0.448,19,7,0.368,0,18,0,0,0,0,1,1,0,2002,PA4,0,5,0.43,-0.199,0.211,0.105,0.057,0.053,0.000,0.787,0,
392,PA,42,2012,PA2012,-0.237,-0.190,-0.222,-0.079,2029682,722124,2793538,5503608,0.508,0.428,18,5,0.278,0,18,0,0,0,0,1,1,0,2012,PA5,1,3,0.469,0.43,0.290,0.106,0.062,0.056,0.000,0.790,0,Y
393,PA,42,2014,PA2014,-0.149,-0.190,-0.219,-0.075,1150962,584569,1607785,3471057,0.463,0.388,18,5,0.278,0,15,0,0,0,0,1,1,0,2012,PA5,0,3,,0.469,,0.108,0.067,0.056,0.000,0.793,0,
394,PA,42,2016,PA2016,-0.183,-0.190,-0.222,-0.080,2049833,923998,2856901,5947661,0.480,0.400,18,5,0.278,,15,0,0,0,0,1,1,0,2012,PA5,0,3,,,,0.109,0.072,0.056,0.000,0.797,0,
395,SC,45,2012,SC2012,-0.233,-0.188,-0.128,-0.072,701345,257450,839517,1917589,0.438,0.365,7,1,0.143,0,5,0,0,0,0,1,1,0,2012,SC5,1,3,0.904,,0.732,0.274,0.056,0.143,0.000,0.675,1,
396,SC,45,2014,SC2014,-0.172,-0.188,-0.230,-0.047,413447,197940,498476,1222774,0.408,0.361,7,1,0.143,0,5,0,0,0,0,1,1,0,2012,SC5,0,3,,0.904,,0.270,0.062,0.143,0.000,0.686,1,
397,SC,45,2016,SC2016,-0.160,-0.188,-0.357,-0.015,666280,317555,790303,1967668,0.402,0.386,7,1,0.143,0,7,0,0,0,0,1,1,0,2012,SC5,0,3,,,,0.267,0.067,0.143,0.000,0.698,1,
398,TN,47,1972,TN1972,-0.088,0.023,-0.125,-0.041,349975,218291,547224,1136529,0.481,0.441,8,3,0.375,0,7,0,0,0,1,0,1,0,1972,TN1,1,2,0.1915,,0.058,0.158,0.004,0.000,0.000,0.594,0,
399,TN,47,1974,TN1974,0.133,0.023,0.019,0.019,185395,270978,452764,912746,0.496,0.515,8,5,0.625,0,5,0,0,0,1,0,1,0,1972,TN1,0,2,-0.183,0.1915,-0.095,0.158,0.005,0.125,0.000,0.596,0,Y
400,TN,47,1976,TN1976,-0.007,0.047,0.090,0.082,355945,310198,754408,1332286,0.566,0.648,8,5,0.625,0,5,0,0,0,1,0,1,0,1976,TN1.1,1,3,-0.1325,-0.183,-0.068,0.157,0.006,0.125,0.000,0.599,0,
401,TN,47,1978,TN1978,0.103,0.047,0.120,0.132,236161,293713,541411,1059748,0.511,0.642,8,5,0.625,0,6,0,0,0,1,0,1,0,1976,TN1.1,0,3,-0.1375,-0.1325,-0.074,0.157,0.006,0.125,0.000,0.601,0,
402,TN,47,1980,TN1980,0.044,0.047,0.122,0.092,367023,364633,791122,1463310,0.541,0.632,8,5,0.625,0,5,0,0,0,1,0,1,0,1976,TN1.1,0,3,-0.1395,-0.1375,-0.082,0.157,0.007,0.125,0.000,0.604,0,
403,TN,47,1982,TN1982,-0.055,0.062,0.162,0.050,335951,287765,762052,1247434,0.611,0.661,9,6,0.667,0,7,0,0,0,1,0,1,0,1982,TN2,1,5,-0.147,-0.1395,-0.079,0.157,0.007,0.111,0.000,0.605,0,
404,TN,47,1984,TN1984,0.131,0.062,0.097,0.110,294039,463902,784725,1515881,0.518,0.628,9,6,0.667,0,5,0,0,0,1,0,1,0,1982,TN2,0,5,-0.158,-0.147,-0.073,0.158,0.007,0.111,0.000,0.606,0,
405,TN,47,1986,TN1986,0.052,0.062,0.056,0.034,251718,314980,631960,1133400,0.558,0.592,9,6,0.667,0,7,0,0,0,1,0,1,0,1982,TN2,0,5,-0.1855,-0.158,-0.088,0.158,0.007,0.111,0.000,0.607,0,
406,TN,47,1988,TN1988,0.079,0.062,0.135,0.080,317747,433840,817621,1503176,0.544,0.624,9,6,0.667,0,6,0,0,0,1,0,1,0,1982,TN2,0,5,-0.123,-0.1855,-0.003,0.159,0.007,0.111,0.000,0.608,0,
407,TN,47,1990,TN1990,0.102,0.062,0.130,0.121,189420,238041,455217,854923,0.533,0.654,9,6,0.667,0,5,0,0,0,1,0,1,0,1982,TN2,0,5,-0.133,-0.123,0.003,0.159,0.007,0.111,0.000,0.609,0,
408,TN,47,1992,TN1992,0.134,0.009,0.054,0.066,308041,523962,859529,1664008,0.517,0.582,9,6,0.667,0,8,0,0,0,1,0,1,0,1992,TN3,1,5,-0.142,-0.133,0.009,0.160,0.010,0.111,0.000,0.614,0,
409,TN,47,1994,TN1994,0.008,0.009,0.004,-0.002,339150,372412,666596,1423124,0.468,0.466,9,4,0.444,0,8,0,0,0,1,0,1,0,1992,TN3,0,5,0.251,-0.142,0.199,0.161,0.013,0.111,0.000,0.620,0,
410,TN,47,1996,TN1996,-0.037,0.009,-0.056,-0.060,471033,401486,856487,1745033,0.491,0.430,9,4,0.444,0,9,0,0,0,1,0,1,0,1992,TN3,0,5,0.406,0.251,0.224,0.161,0.016,0.111,0.000,0.625,0,
411,TN,47,1998,TN1998,-0.005,0.009,-0.055,-0.070,267761,240162,482207,1015846,0.475,0.404,9,4,0.444,0,5,0,0,0,1,0,1,0,1992,TN3,0,5,0.454,0.406,0.239,0.162,0.019,0.111,0.000,0.631,0,
412,TN,47,2000,TN2000,-0.053,0.009,-0.055,-0.147,541331,436193,974696,1955050,0.499,0.351,9,4,0.444,0,6,0,0,0,1,0,1,0,1992,TN3,0,5,0.502,0.454,0.253,0.163,0.022,0.111,0.000,0.636,0,
413,TN,47,2002,TN2002,0.088,0.055,0.054,0.045,325194,447824,747674,1546037,0.484,0.528,9,5,0.556,0,7,0,0,1,0,0,0,1,2002,TN4,1,5,-0.172,0.502,0.198,0.163,0.027,0.111,0.000,0.642,0,Y
414,TN,47,2004,TN2004,0.066,0.055,0.056,0.062,506797,617777,1113334,2249147,0.495,0.557,9,5,0.556,0,8,0,0,1,0,0,0,1,2002,TN4,0,5,-0.168,-0.172,0.211,0.164,0.032,0.111,0.000,0.647,0,Y
415,TN,47,2006,TN2006,0.019,0.055,0.056,0.146,431040,399164,860861,1660408,0.518,0.664,9,5,0.556,0,9,0,0,1,0,0,0,1,2002,TN4,0,5,-0.163,-0.168,0.212,0.164,0.036,0.000,0.000,0.653,0,
416,TN,47,2008,TN2008,0.103,0.055,0.055,0.123,490372,677245,1112225,2335237,0.476,0.600,9,5,0.556,0,6,0,0,1,0,0,0,1,2002,TN4,0,5,-0.158,-0.163,0.219,0.165,0.041,0.000,0.000,0.658,0,Y
417,TN,47,2010,TN2010,-0.001,0.055,-0.056,-0.032,387991,360309,541527,1496605,0.362,0.330,9,2,0.222,0,9,0,0,1,0,0,0,1,2002,TN4,0,5,0.742,-0.158,0.539,0.165,0.046,0.000,0.000,0.664,0,
418,TN,47,2012,TN2012,-0.053,-0.015,-0.156,-0.094,612260,503512,865272,2231543,0.388,0.294,9,2,0.222,0,8,0,0,0,0,1,1,0,2012,TN5,1,3,0.742,0.742,0.543,0.165,0.051,0.000,0.000,0.670,0,
419,TN,47,2014,TN2014,-0.008,-0.015,-0.218,-0.089,348204,310259,481091,1316927,0.365,0.277,9,2,0.222,0,8,0,0,0,0,1,1,0,2012,TN5,0,3,,0.742,,0.166,0.056,0.000,0.000,0.675,0,
420,TN,47,2016,TN2016,0.017,-0.015,-0.278,-0.085,571032,582930,814181,2307921,0.353,0.267,9,2,0.222,0,9,0,0,0,0,1,1,0,2012,TN5,0,3,,,,0.166,0.060,0.000,0.000,0.681,0,
421,TX,48,1972,TX1972,0.129,0.129,0.101,0.054,683963,1026089,2059486,3420106,0.602,0.656,24,20,0.833,0,13,0,0,0,1,0,1,0,1972,TX1,1,1,-0.1125,,-0.100,0.124,0.189,0.042,0.083,0.797,0,
422,TX,48,1974,TX1974,0.079,0.167,0.096,0.064,342179,405838,969380,1496036,0.648,0.712,24,21,0.875,0,16,0,0,0,1,0,1,0,1974,TX1.1,1,4,-0.1105,-0.1125,-0.087,0.122,0.194,0.042,0.083,0.797,0,
423,TX,48,1976,TX1976,0.173,0.167,-0.018,0.029,691123,1222391,2380283,3827032,0.622,0.651,24,22,0.917,0,18,0,0,0,1,0,1,0,1974,TX1.1,0,4,-0.1155,-0.1105,-0.111,0.121,0.200,0.042,0.083,0.796,0,
424,TX,48,1978,TX1978,0.193,0.167,0.139,0.086,454506,674501,1287366,2258012,0.570,0.657,24,20,0.833,0,20,0,0,0,1,0,1,0,1974,TX1.1,0,4,-0.0825,-0.1155,-0.044,0.120,0.205,0.042,0.083,0.796,0,
425,TX,48,1980,TX1980,0.221,0.167,0.070,0.068,736867,1449195,2341523,4372126,0.536,0.604,24,19,0.792,0,18,0,0,0,1,0,1,0,1974,TX1.1,0,4,-0.0445,-0.0825,0.009,0.119,0.210,0.042,0.083,0.796,0,
426,TX,48,1982,TX1982,0.124,0.124,0.124,0.080,581367,876671,1736319,2916078,0.595,0.675,27,22,0.815,0,18,0,0,0,1,0,1,0,1982,TX2,1,1,-0.07,-0.0445,-0.019,0.118,0.219,0.037,0.111,0.797,1,
427,TX,48,1984,TX1984,0.138,0.136,0.104,0.076,1076186,1585204,2638050,5322779,0.496,0.572,27,17,0.630,0,18,0,0,0,1,0,1,0,1984,TX2.1,1,4,-0.0385,-0.07,0.031,0.118,0.228,0.037,0.148,0.799,1,Y
428,TX,48,1986,TX1986,0.066,0.136,0.092,0.074,795267,871668,1773073,3333878,0.532,0.606,27,17,0.630,0,17,0,0,0,1,0,1,0,1984,TX2.1,0,4,-0.0665,-0.0385,0.045,0.117,0.238,0.037,0.148,0.800,1,
429,TX,48,1988,TX1988,0.149,0.136,0.105,0.095,1047388,1551339,2739620,5197453,0.527,0.622,27,19,0.704,0,14,0,0,0,1,0,1,0,1984,TX2.1,0,4,-0.122,-0.0665,-0.025,0.117,0.247,0.074,0.148,0.802,1,
430,TX,48,1990,TX1990,0.192,0.136,0.165,0.071,694851,1211321,1929207,3812344,0.506,0.577,27,19,0.704,0,14,0,0,0,1,0,1,0,1984,TX2.1,0,4,-0.152,-0.122,-0.004,0.116,0.256,0.037,0.148,0.803,1,
431,TX,48,1992,TX1992,0.197,0.203,0.177,0.099,1006034,1834290,2849964,5680649,0.502,0.601,30,21,0.700,0,25,0,0,0,1,0,1,0,1992,TX3,1,2,-0.1605,-0.152,-0.013,0.115,0.269,0.067,0.167,0.807,1,
432,TX,48,1994,TX1994,0.208,0.203,0.133,0.084,739822,1343940,1927262,4167525,0.462,0.547,30,19,0.633,0,25,0,0,0,1,0,1,0,1992,TX3,0,2,-0.102,-0.1605,0.076,0.115,0.282,0.067,0.167,0.812,1,Y
433,TX,48,1996,TX1996,0.134,0.125,0.067,0.060,1075939,1429463,2337508,5010812,0.466,0.526,30,17,0.567,0,26,0,1,0,0,0,0,1,1996,TX3.1,1,3,-0.126,-0.102,0.110,0.114,0.294,0.067,0.200,0.816,1,Y
434,TX,48,1998,TX1998,0.119,0.125,0.067,0.103,787749,1073060,1764228,3721621,0.474,0.577,30,17,0.567,0,19,0,1,0,0,0,0,1,1996,TX3.1,0,3,-0.1435,-0.126,0.122,0.114,0.307,0.067,0.200,0.821,1,Y
435,TX,48,2000,TX2000,0.121,0.125,0.066,0.097,1364381,1667516,2866082,6063796,0.473,0.570,30,17,0.567,0,21,0,1,0,0,0,0,1,1996,TX3.1,0,3,-0.1565,-0.1435,0.134,0.113,0.320,0.067,0.200,0.825,1,Y
436,TX,48,2002,TX2002,0.112,0.112,0.041,0.062,1002934,1290791,2108144,4587451,0.460,0.521,32,17,0.531,0,23,0,1,0,0,0,0,1,2002,TX4,1,1,0.268,-0.1565,0.204,0.113,0.331,0.063,0.188,0.829,1,Y
437,TX,48,2004,TX2004,-0.019,-0.019,-0.144,-0.038,2109938,1463606,3084158,7147089,0.432,0.393,32,11,0.344,0,25,0,0,0,0,1,1,0,2004,TX4.1,1,1,0.604,0.268,0.341,0.114,0.342,0.094,0.188,0.834,1,
438,TX,48,2006,TX2006,0.001,0.009,-0.094,-0.054,1219205,828577,1854485,4095560,0.453,0.398,32,13,0.406,0,27,0,0,0,0,1,1,0,2006,TX4.2,1,3,0.5885,0.604,0.311,0.114,0.354,0.094,0.188,0.838,1,
439,TX,48,2008,TX2008,-0.030,0.009,-0.125,-0.033,2367628,1497673,3497722,7730604,0.452,0.419,32,12,0.375,0,24,0,0,0,0,1,1,0,2006,TX4.2,0,3,0.6135,0.5885,0.351,0.115,0.365,0.094,0.188,0.843,1,
440,TX,48,2010,TX2010,0.056,0.009,-0.155,-0.042,1242510,1132645,1721584,4750313,0.362,0.320,32,9,0.281,0,26,0,0,0,0,1,1,0,2006,TX4.2,0,3,0.69,0.6135,0.460,0.115,0.376,0.094,0.188,0.847,1,
441,TX,48,2012,TX2012,-0.010,-0.010,-0.139,-0.047,2244032,1566990,3212530,7622039,0.421,0.375,36,12,0.333,0,31,0,1,0,0,0,0,1,2012,TX5,1,3,0.718,0.69,0.413,0.115,0.387,0.111,0.167,0.851,1,
442,TX,48,2014,TX2014,0.032,-0.010,-0.165,-0.037,1289193,1020572,1786881,4619527,0.387,0.350,36,11,0.306,0,23,0,1,0,0,0,0,1,2012,TX5,0,3,,0.718,,0.116,0.398,0.139,0.139,0.856,1,
443,TX,48,2016,TX2016,-0.052,-0.010,-0.161,-0.032,2729445,1566038,3684226,8590967,0.429,0.397,36,11,0.306,,26,0,1,0,0,0,0,1,2012,TX5,0,3,,,,0.116,0.410,0.139,0.139,0.860,1,
444,VA,51,1972,VA1972,-0.128,-0.083,-0.159,-0.024,405122,224899,584461,1260042,0.464,0.440,10,3,0.300,0,8,0,0,0,1,0,1,0,1972,VA1,1,5,0.189,,0.191,0.185,0.011,0.000,0.000,0.638,1,
445,VA,51,1974,VA1974,-0.028,-0.083,-0.001,0.003,252019,236826,502459,977691,0.514,0.517,10,5,0.500,0,7,0,0,0,1,0,1,0,1972,VA1,0,5,0.1715,0.189,0.097,0.186,0.012,0.000,0.000,0.643,1,
446,VA,51,1976,VA1976,-0.082,-0.083,-0.007,-0.009,405462,331303,723780,1473528,0.491,0.482,10,4,0.400,0,6,0,0,0,1,0,1,0,1972,VA1,0,5,0.1905,0.1715,0.123,0.186,0.013,0.000,0.000,0.649,1,
447,VA,51,1978,VA1978,0.006,-0.083,-0.041,-0.065,274967,295486,510241,1140905,0.447,0.382,10,4,0.400,0,5,0,0,0,1,0,1,0,1972,VA1,0,5,0.197,0.1905,0.129,0.187,0.014,0.000,0.000,0.654,1,
448,VA,51,1980,VA1980,-0.181,-0.083,0.035,-0.039,546947,266878,635231,1627650,0.390,0.352,10,1,0.100,0,6,0,0,0,1,0,1,0,1972,VA1,0,5,0.2165,0.197,0.234,0.187,0.015,0.000,0.000,0.660,1,
449,VA,51,1982,VA1982,-0.065,0.005,0.007,-0.003,399964,310386,685672,1420704,0.483,0.480,10,4,0.400,0,8,0,0,0,1,0,1,0,1982,VA2,1,5,0.2125,0.2165,0.114,0.187,0.017,0.000,0.000,0.667,1,
450,VA,51,1984,VA1984,-0.010,0.005,-0.089,-0.029,540721,492600,940614,2066642,0.455,0.427,10,4,0.400,0,6,0,0,0,1,0,1,0,1982,VA2,0,5,0.2235,0.2125,0.125,0.187,0.019,0.000,0.000,0.674,1,
451,VA,51,1986,VA1986,-0.018,0.005,-0.011,-0.018,340223,294102,645579,1268650,0.509,0.491,10,5,0.500,0,6,0,0,0,1,0,1,0,1982,VA2,0,5,0.143,0.2235,0.071,0.186,0.022,0.000,0.000,0.680,1,
