number,stpost,state,fip,year,id,V Mean,V.sd,V.lo,V.up,V Median,S,eg,eg.sd,eg.lo,eg.up,abs_eg,avg_eg,lag_eg,mcg_eg,bias,mmd,unc,majwin,dwin,plan,plancode,planelections,n,wrongwin,popdeviation,firstelection,commission,court,unified,divided,unified_dem,unified_rep,non-unified,pop_black,pop_hisp,seats_black,seats_hisp,urbanization,control
584,RI,Rhode Island,44,1982,RI1982,0.645,0.6,63.3,65.7,0.698,0.850,0.060,0.012,0.035,0.084,0.060,0.044,-0.011,0.059,0.140,0.054,42,100,85,2,RI2,5,100,,,1,0,0,1,0,1,0,0,0.029,0.026,0.030,0.000,0.876,1
585,RI,Rhode Island,44,1984,RI1984,0.600,0.6,58.8,61.1,0.642,0.770,0.070,0.012,0.048,0.093,0.070,0.044,0.060,0.087,0.150,0.043,40,100,77,2,RI2,5,100,,,0,0,0,1,0,1,0,0,0.030,0.031,0.030,0.000,0.882,1
586,RI,Rhode Island,44,1986,RI1986,0.630,0.6,61.8,64.1,0.678,0.800,0.040,0.012,0.018,0.064,0.040,0.044,0.070,0.054,0.090,0.048,36,100,80,2,RI2,5,100,,,0,0,0,1,0,1,0,0,0.032,0.036,0.050,0.000,0.887,1
587,RI,Rhode Island,44,1988,RI1988,0.663,1.0,64.4,68.3,0.702,0.830,0.004,0.020,-0.036,0.042,0.004,0.044,0.040,0.048,0.100,0.039,65,100,83,2,RI2,5,100,,,0,0,0,1,0,1,0,0,0.033,0.041,0.060,0.000,0.893,1
588,RI,Rhode Island,44,1990,RI1990,0.672,0.9,65.4,69.1,0.707,0.889,0.045,0.019,0.008,0.080,0.045,0.044,0.004,0.067,0.076,0.034,46,99,88,2,RI2,5,100,,,0,0,0,1,0,1,0,0,0.034,0.046,0.070,0.000,0.899,1
589,RI,Rhode Island,44,1992,RI1992,0.622,0.8,60.6,63.6,0.638,0.820,0.077,0.015,0.047,0.107,0.077,0.060,0.045,0.082,0.070,0.016,40,100,82,3,RI3,5,100,,,1,0,0,1,0,1,0,0,0.035,0.054,0.080,0.010,0.901,1
590,RI,Rhode Island,44,1994,RI1994,0.611,0.8,59.6,62.6,0.632,0.840,0.119,0.016,0.089,0.148,0.119,0.060,0.077,0.108,0.080,0.021,55,100,84,3,RI3,5,100,,,0,0,0,1,0,1,0,0,0.036,0.062,0.070,0.010,0.903,1
591,RI,Rhode Island,44,1996,RI1996,0.649,1.0,63.1,66.9,0.680,0.840,0.041,0.020,0.001,0.078,0.041,0.060,0.119,0.054,0.090,0.031,58,100,84,3,RI3,5,100,,,0,0,0,1,0,1,0,0,0.038,0.071,0.080,0.010,0.905,1
592,RI,Rhode Island,44,1998,RI1998,0.644,1.3,61.9,66.9,0.650,0.869,0.082,0.025,0.030,0.130,0.082,0.060,0.041,0.064,0.086,0.007,68,99,86,3,RI3,5,100,,,0,0,0,1,0,1,0,0,0.039,0.079,0.080,0.010,0.907,1
593,RI,Rhode Island,44,2000,RI2000,0.679,1.3,65.6,70.4,0.706,0.840,-0.019,0.025,-0.068,0.028,0.019,0.060,0.082,0.053,0.110,0.026,67,100,84,3,RI3,5,100,,,0,0,0,1,0,1,0,0,0.040,0.087,0.060,0.020,0.909,1
594,RI,Rhode Island,44,2002,RI2002,0.645,1.1,62.4,66.7,0.650,0.851,0.062,0.022,0.017,0.103,0.062,0.066,-0.019,0.069,0.041,0.005,41,74,63,4,RI4,5,75,,,1,0,0,1,0,1,0,0,0.042,0.094,0.067,0.027,0.909,1
595,RI,Rhode Island,44,2004,RI2004,0.622,0.6,61.1,63.3,0.624,0.800,0.056,0.011,0.034,0.078,0.056,0.066,0.062,0.036,0.007,0.002,28,75,60,4,RI4,5,75,,,0,0,0,1,0,1,0,0,0.044,0.102,0.040,0.027,0.908,1
596,RI,Rhode Island,44,2006,RI2006,0.658,0.9,64.1,67.7,0.658,0.813,-0.003,0.018,-0.040,0.031,0.003,0.066,0.056,0.012,-0.007,-0.001,40,75,61,4,RI4,5,75,,,0,0,0,1,0,1,0,0,0.045,0.109,0.040,0.027,0.908,1
597,RI,Rhode Island,44,2008,RI2008,0.661,0.6,64.9,67.4,0.643,0.920,0.098,0.013,0.072,0.123,0.098,0.066,-0.003,0.093,-0.073,-0.018,35,75,69,4,RI4,5,75,,,0,0,0,1,0,1,0,0,0.047,0.117,0.040,0.027,0.907,1
598,RI,Rhode Island,44,2010,RI2010,0.625,0.5,61.4,63.5,0.622,0.867,0.117,0.011,0.096,0.138,0.117,0.066,0.098,0.134,-0.020,-0.003,28,75,65,4,RI4,5,75,,,0,0,0,1,0,1,0,0,0.049,0.124,0.027,0.053,0.907,1
599,RI,Rhode Island,44,2012,RI2012,0.673,1.0,65.5,69.3,0.660,0.920,0.074,0.019,0.034,0.109,0.074,0.096,0.117,0.134,-0.047,-0.014,43,75,69,5,RI5,2,75,,0.050,1,0,0,1,0,1,0,0,0.051,0.131,0.027,0.040,0.907,1
600,RI,Rhode Island,44,2014,RI2014,0.617,1.7,58.4,65.1,0.613,0.851,0.118,0.035,0.048,0.183,0.118,0.096,0.074,,-0.068,-0.004,54,74,63,5,RI5,2,75,,,0,0,0,1,0,1,0,0,0.053,0.139,0.067,0.040,0.906,1
601,SC,South Carolina,45,1974,SC1974,0.643,0.8,62.8,65.9,0.665,0.863,0.077,0.016,0.046,0.107,0.077,0.066,,0.081,0.161,0.022,62,124,107,1,SC1,4,124,,,1,0,0,1,0,1,0,0,0.303,0.007,0.105,0.000,0.506,1
602,SC,South Carolina,45,1976,SC1976,0.684,0.9,66.4,70.2,0.719,0.903,0.036,0.019,-0.001,0.076,0.036,0.066,0.077,0.085,0.194,0.035,69,124,112,1,SC1,4,124,,,0,0,0,1,0,1,0,0,0.302,0.008,0.105,0.000,0.518,1
603,SC,South Carolina,45,1978,SC1978,0.656,1.3,63.2,68.1,0.697,0.871,0.059,0.025,0.009,0.107,0.059,0.066,0.036,0.102,0.153,0.041,90,124,108,1,SC1,4,124,,,0,0,0,1,0,1,0,0,0.301,0.010,0.105,0.000,0.529,1
604,SC,South Carolina,45,1980,SC1980,0.635,1.4,60.7,66.5,0.683,0.863,0.093,0.028,0.034,0.148,0.093,0.066,0.059,0.129,0.153,0.048,93,124,107,1,SC1,4,124,,,0,0,0,1,0,1,0,0,0.300,0.011,0.121,0.000,0.541,1
605,SC,South Carolina,45,1982,SC1982,0.631,1.1,61.1,65.4,0.667,0.837,0.074,0.021,0.030,0.116,0.074,0.073,0.093,0.130,0.248,0.035,83,123,103,2,SC2,5,123,,,1,0,0,1,0,1,0,0,0.299,0.011,0.161,0.000,0.556,1
606,SC,South Carolina,45,1984,SC1984,0.563,1.0,54.5,58.2,0.608,0.782,0.157,0.019,0.119,0.193,0.157,0.073,0.074,0.142,0.194,0.045,88,124,97,2,SC2,5,124,,,0,0,0,1,0,1,0,0,0.299,0.010,0.137,0.000,0.571,1
607,SC,South Carolina,45,1986,SC1986,0.593,1.0,57.4,61.2,0.645,0.740,0.054,0.020,0.016,0.092,0.054,0.073,0.157,0.040,0.175,0.052,90,123,91,2,SC2,5,123,,,0,0,0,1,0,1,0,0,0.298,0.010,0.129,0.000,0.585,1
608,SC,South Carolina,45,1988,SC1988,0.567,1.0,54.9,58.6,0.628,0.699,0.065,0.019,0.027,0.101,0.065,0.073,0.054,0.076,0.118,0.061,80,123,86,2,SC2,5,123,,,0,0,0,1,0,1,0,0,0.298,0.009,0.129,0.000,0.600,1
609,SC,South Carolina,45,1990,SC1990,0.569,1.0,55.0,58.9,0.656,0.653,0.015,0.020,-0.025,0.053,0.015,0.073,0.065,0.025,0.120,0.087,77,121,79,2,SC2,5,122,,,0,0,0,1,0,1,0,0,0.297,0.009,0.129,0.000,0.615,1
610,SC,South Carolina,45,1992,SC1992,0.506,0.8,49.0,52.1,0.567,0.593,0.082,0.015,0.052,0.113,0.082,0.082,0.015,0.035,0.093,0.062,78,123,73,2.1,SC2.1,1,124,,,1,0,1,0,0,0,0,1,0.296,0.012,0.145,0.000,0.613,0
611,SC,South Carolina,45,1994,SC1994,0.495,0.9,47.7,51.3,0.512,0.504,0.014,0.019,-0.022,0.050,0.014,-0.017,0.082,-0.013,0.004,0.017,83,121,61,2.2,SC2.2,2,124,Y,,1,0,1,0,0,0,0,1,0.296,0.015,0.194,0.000,0.611,0
612,SC,South Carolina,45,1996,SC1996,0.489,0.9,47.2,50.7,0.436,0.431,-0.047,0.018,-0.083,-0.013,0.047,-0.017,0.014,-0.059,-0.061,-0.053,73,123,53,2.2,SC2.2,2,124,,,0,0,1,0,0,0,0,1,0.295,0.018,0.210,0.000,0.609,0
613,SC,South Carolina,45,1998,SC1998,0.485,1.1,46.3,50.6,0.436,0.452,-0.019,0.022,-0.060,0.027,0.019,-0.039,-0.047,-0.015,-0.024,-0.049,89,124,56,3,SC3,2,124,,,1,0,1,0,0,0,0,1,0.295,0.021,0.210,0.000,0.607,0
614,SC,South Carolina,45,2000,SC2000,0.497,0.9,47.9,51.4,0.452,0.435,-0.058,0.018,-0.092,-0.023,0.058,-0.039,-0.019,-0.055,-0.065,-0.045,81,124,54,3,SC3,2,124,,,0,0,1,0,0,0,0,1,0.294,0.024,0.194,0.000,0.605,0
615,SC,South Carolina,45,2002,SC2002,0.506,1.0,48.6,52.5,0.412,0.411,-0.101,0.020,-0.139,-0.061,0.101,-0.101,-0.058,-0.058,-0.089,-0.094,89,124,51,3.1,SC3.1,1,124,Y,,1,0,1,0,0,0,0,1,0.291,0.029,0.194,0.000,0.617,0
616,SC,South Carolina,45,2004,SC2004,0.451,1.3,42.4,47.6,0.350,0.403,0.001,0.027,-0.048,0.055,0.001,-0.038,-0.101,-0.050,-0.081,-0.101,95,124,50,4,SC4,4,124,,,1,0,1,0,0,0,0,1,0.287,0.035,0.202,0.000,0.628,0
617,SC,South Carolina,45,2006,SC2006,0.484,1.1,46.3,50.7,0.404,0.411,-0.057,0.022,-0.103,-0.015,0.057,-0.038,0.001,-0.068,-0.081,-0.081,93,124,51,4,SC4,4,124,,,0,0,1,0,0,0,0,1,0.284,0.040,0.226,0.000,0.640,0
618,SC,South Carolina,45,2008,SC2008,0.501,0.7,48.7,51.6,0.423,0.427,-0.075,0.015,-0.104,-0.047,0.075,-0.038,-0.057,-0.079,-0.073,-0.078,88,124,53,4,SC4,4,124,Y,,0,0,1,0,0,0,0,1,0.280,0.046,0.234,0.000,0.651,0
619,SC,South Carolina,45,2010,SC2010,0.456,0.9,43.8,47.4,0.378,0.390,-0.022,0.019,-0.058,0.015,0.022,-0.038,-0.075,-0.004,-0.093,-0.078,87,123,48,4,SC4,4,123,,,0,0,1,0,0,0,0,1,0.277,0.051,0.226,0.000,0.663,0
620,SC,South Carolina,45,2012,SC2012,0.466,1.3,44.0,49.0,0.387,0.371,-0.061,0.026,-0.110,-0.008,0.061,-0.034,-0.022,-0.021,-0.113,-0.079,104,124,46,5,SC5,2,124,,0.050,1,0,0,1,0,0,1,0,0.274,0.056,0.226,0.000,0.675,-1
621,SC,South Carolina,45,2014,SC2014,0.439,1.2,41.7,46.3,0.353,0.371,-0.007,0.024,-0.055,0.037,0.007,-0.034,-0.061,,-0.113,-0.086,95,124,46,5,SC5,2,124,,,0,0,0,1,0,0,1,0,0.270,0.062,0.210,0.000,0.686,-1
622,TN,Tennessee,47,1972,TN1972,0.506,0.5,49.7,51.7,0.531,0.515,0.002,0.010,-0.019,0.021,0.002,-0.040,,-0.005,0.025,0.025,39,99,51,1,TN1,5,99,,,1,0,1,0,0,0,0,1,0.158,0.004,0.071,0.000,0.594,0
623,TN,Tennessee,47,1974,TN1974,0.603,0.7,58.9,61.8,0.655,0.643,-0.064,0.015,-0.092,-0.036,0.064,-0.040,0.002,-0.029,0.071,0.052,48,98,63,1,TN1,5,99,,,0,0,0,1,0,1,0,0,0.158,0.005,0.091,0.000,0.596,1
624,TN,Tennessee,47,1976,TN1976,0.615,0.9,59.7,63.3,0.679,0.673,-0.056,0.018,-0.092,-0.021,0.056,-0.040,-0.064,0.016,0.082,0.065,59,98,66,1,TN1,5,99,,,0,0,0,1,0,1,0,0,0.157,0.006,0.091,0.000,0.599,1
625,TN,Tennessee,47,1978,TN1978,0.581,0.8,56.5,59.8,0.622,0.612,-0.051,0.017,-0.083,-0.018,0.051,-0.040,-0.056,-0.005,0.051,0.040,50,98,60,1,TN1,5,99,,,0,0,0,1,0,1,0,0,0.157,0.006,0.091,0.000,0.601,1
626,TN,Tennessee,47,1980,TN1980,0.564,0.9,54.6,58.1,0.587,0.598,-0.030,0.018,-0.064,0.006,0.030,-0.040,-0.051,0.021,0.036,0.023,43,97,58,1,TN1,5,99,,,0,0,0,1,1,0,0,1,0.157,0.007,0.091,0.000,0.604,0
627,TN,Tennessee,47,1982,TN1982,0.566,1.2,54.2,58.9,0.626,0.612,-0.019,0.023,-0.065,0.027,0.019,-0.019,-0.030,0.018,0.071,0.060,68,98,60,1.1,TN1.1,1,99,,,1,0,0,1,0,1,0,0,0.157,0.007,0.101,0.000,0.609,1
628,TN,Tennessee,47,1984,TN1984,0.553,1.0,53.3,57.4,0.586,0.626,0.019,0.021,-0.022,0.059,0.019,-0.020,-0.019,0.071,0.106,0.033,68,99,62,2,TN2,4,99,,,1,0,0,1,0,1,0,0,0.158,0.007,0.101,0.000,0.613,1
629,TN,Tennessee,47,1986,TN1986,0.572,1.0,55.4,59.1,0.646,0.616,-0.029,0.019,-0.067,0.008,0.029,-0.020,0.019,0.027,0.096,0.074,62,99,61,2,TN2,4,99,,,0,0,0,1,0,1,0,0,0.158,0.007,0.101,0.000,0.618,1
630,TN,Tennessee,47,1988,TN1988,0.563,1.0,54.5,58.4,0.634,0.596,-0.030,0.020,-0.073,0.006,0.030,-0.020,-0.029,0.029,0.076,0.071,66,99,59,2,TN2,4,99,,,0,0,0,1,0,1,0,0,0.159,0.007,0.101,0.000,0.622,1
631,TN,Tennessee,47,1990,TN1990,0.557,1.1,53.4,57.9,0.571,0.576,-0.038,0.023,-0.082,0.008,0.038,-0.020,-0.030,-0.006,0.035,0.014,59,99,57,2,TN2,4,99,,,0,0,0,1,0,1,0,0,0.159,0.007,0.101,0.000,0.627,1
632,TN,Tennessee,47,1992,TN1992,0.544,0.6,53.2,55.7,0.605,0.646,0.058,0.013,0.033,0.083,0.058,0.058,-0.038,0.079,0.066,0.061,45,99,64,2.1,TN2.1,1,99,,,1,0,0,1,0,1,0,0,0.160,0.010,0.121,0.000,0.629,1
633,TN,Tennessee,47,1994,TN1994,0.505,0.9,48.9,52.2,0.549,0.596,0.086,0.017,0.052,0.118,0.086,0.037,0.058,0.067,0.076,0.044,51,99,59,3,TN3,4,99,,,1,0,0,1,0,1,0,0,0.161,0.013,0.131,0.000,0.631,1
634,TN,Tennessee,47,1996,TN1996,0.544,0.8,52.9,55.9,0.572,0.616,0.028,0.016,-0.003,0.059,0.028,0.037,0.086,0.053,0.066,0.028,52,99,61,3,TN3,4,99,,,0,0,0,1,0,1,0,0,0.161,0.016,0.131,0.000,0.632,1
635,TN,Tennessee,47,1998,TN1998,0.538,1.0,51.7,55.8,0.591,0.596,0.020,0.021,-0.019,0.062,0.020,0.037,0.028,0.028,0.086,0.053,63,99,59,3,TN3,4,99,,,0,0,0,1,0,1,0,0,0.162,0.019,0.131,0.000,0.634,1
636,TN,Tennessee,47,2000,TN2000,0.537,1.3,51.2,56.2,0.589,0.586,0.012,0.026,-0.038,0.062,0.012,0.037,0.020,0.040,0.056,0.052,64,99,58,3,TN3,4,99,,,0,0,0,1,0,1,0,0,0.163,0.022,0.141,0.000,0.636,1
637,TN,Tennessee,47,2002,TN2002,0.527,0.8,51.2,54.1,0.526,0.545,-0.009,0.015,-0.038,0.022,0.009,-0.010,0.012,0.041,-0.005,-0.001,46,99,54,4,TN4,5,99,,,1,0,0,0,1,0,0,1,0.163,0.027,0.152,0.000,0.642,0
638,TN,Tennessee,47,2004,TN2004,0.497,0.9,47.9,51.5,0.537,0.535,0.041,0.018,0.005,0.077,0.041,-0.010,-0.009,0.048,0.035,0.040,50,99,53,4,TN4,5,99,Y,,0,0,0,0,1,0,0,1,0.164,0.032,0.152,0.000,0.647,0
639,TN,Tennessee,47,2006,TN2006,0.544,0.6,53.3,55.6,0.547,0.535,-0.053,0.012,-0.076,-0.030,0.053,-0.010,0.041,-0.020,0.005,0.003,55,99,53,4,TN4,5,99,,,0,0,0,0,1,0,0,1,0.164,0.036,0.162,0.000,0.653,0
640,TN,Tennessee,47,2008,TN2008,0.500,0.9,48.5,51.8,0.494,0.495,-0.006,0.017,-0.042,0.025,0.006,-0.010,-0.053,-0.002,-0.005,-0.007,63,99,49,4,TN4,5,99,Y,,0,0,0,0,1,0,0,1,0.165,0.041,0.152,0.000,0.658,0
641,TN,Tennessee,47,2010,TN2010,0.436,0.8,42.0,45.2,0.382,0.347,-0.024,0.016,-0.058,0.007,0.024,-0.010,-0.006,-0.010,-0.051,-0.054,43,98,34,4,TN4,5,99,,,0,0,0,0,1,0,0,1,0.165,0.046,0.152,0.000,0.664,0
642,TN,Tennessee,47,2012,TN2012,0.429,0.6,41.7,44.1,0.343,0.286,-0.073,0.012,-0.096,-0.049,0.073,-0.032,-0.024,-0.067,-0.173,-0.086,50,98,28,5,TN5,2,99,,0.092,1,0,0,1,0,0,1,0,0.165,0.051,0.152,0.000,0.670,-1
643,TN,Tennessee,47,2014,TN2014,0.376,0.7,36.4,38.9,0.303,0.263,0.010,0.013,-0.015,0.034,0.010,-0.032,-0.073,,-0.207,-0.073,62,99,26,5,TN5,2,99,,,0,0,0,1,0,0,1,0,0.166,0.056,0.131,0.000,0.675,-1
644,TX,Texas,48,1972,TX1972,0.623,0.6,61.2,63.5,0.646,0.887,0.141,0.012,0.117,0.162,0.141,0.076,,0.141,0.213,0.023,75,150,133,1,TX1,5,150,,,1,0,0,1,0,1,0,0,0.124,0.189,0.053,0.067,0.797,1
645,TX,Texas,48,1974,TX1974,0.699,0.8,68.2,71.5,0.726,0.893,-0.005,0.017,-0.037,0.029,0.005,0.076,0.141,0.027,0.200,0.027,92,150,134,1,TX1,5,150,,,0,0,0,1,0,1,0,0,0.122,0.194,0.060,0.093,0.797,1
646,TX,Texas,48,1976,TX1976,0.661,0.9,64.4,67.9,0.687,0.880,0.059,0.018,0.023,0.092,0.059,0.076,-0.005,0.090,0.107,0.026,98,150,132,1,TX1,5,150,,,0,0,0,1,0,1,0,0,0.121,0.200,0.087,0.113,0.796,1
647,TX,Texas,48,1978,TX1978,0.627,0.8,61.2,64.1,0.665,0.853,0.100,0.015,0.071,0.129,0.100,0.076,0.059,0.111,0.133,0.039,85,150,128,1,TX1,5,150,,,0,0,0,1,0,1,0,0,0.120,0.205,0.093,0.120,0.796,1
648,TX,Texas,48,1980,TX1980,0.588,0.8,57.2,60.3,0.631,0.760,0.085,0.015,0.054,0.115,0.085,0.076,0.100,0.098,0.140,0.043,76,150,114,1,TX1,5,150,,,0,0,0,1,0,1,0,0,0.119,0.210,0.087,0.120,0.796,1
649,TX,Texas,48,1982,TX1982,0.594,0.7,58.0,60.9,0.640,0.760,0.072,0.015,0.042,0.099,0.072,0.060,0.085,0.088,0.160,0.046,88,150,114,2,TX2,5,150,,,1,0,1,0,0,0,0,1,0.118,0.219,0.080,0.140,0.799,0
650,TX,Texas,48,1984,TX1984,0.515,0.9,49.9,53.2,0.574,0.653,0.124,0.017,0.089,0.155,0.124,0.060,0.072,0.058,0.147,0.060,107,150,98,2,TX2,5,150,,,0,0,0,1,0,1,0,0,0.118,0.228,0.087,0.127,0.802,1
651,TX,Texas,48,1986,TX1986,0.545,0.8,53.0,55.9,0.596,0.627,0.037,0.016,0.008,0.067,0.037,0.060,0.124,0.019,0.093,0.051,101,150,94,2,TX2,5,150,,,0,0,0,1,0,1,0,0,0.117,0.238,0.087,0.127,0.806,1
652,TX,Texas,48,1988,TX1988,0.543,0.7,52.9,55.7,0.579,0.620,0.034,0.015,0.005,0.062,0.034,0.060,0.037,0.012,0.080,0.036,91,150,93,2,TX2,5,150,,,0,0,0,1,0,1,0,0,0.117,0.247,0.087,0.127,0.809,1
653,TX,Texas,48,1990,TX1990,0.544,0.9,52.6,56.0,0.592,0.620,0.033,0.017,0.000,0.067,0.033,0.060,0.034,0.013,0.080,0.048,91,150,93,2,TX2,5,150,,,0,0,0,1,0,1,0,0,0.116,0.256,0.087,0.140,0.812,1
654,TX,Texas,48,1992,TX1992,0.529,0.9,51.3,54.8,0.605,0.613,0.054,0.018,0.017,0.087,0.054,0.040,0.033,0.064,0.093,0.076,96,150,92,3,TX3,5,150,,,1,0,0,1,0,1,0,0,0.115,0.269,0.093,0.173,0.815,1
655,TX,Texas,48,1994,TX1994,0.497,0.9,48.1,51.6,0.583,0.593,0.100,0.018,0.061,0.132,0.100,0.040,0.054,0.098,0.100,0.086,99,150,89,3,TX3,5,150,Y,,0,0,0,1,0,1,0,0,0.115,0.282,0.093,0.173,0.817,1
656,TX,Texas,48,1996,TX1996,0.522,1.1,50.0,54.5,0.542,0.547,0.004,0.022,-0.043,0.046,0.004,0.040,0.100,0.022,0.020,0.020,93,150,82,3,TX3,5,150,,,0,0,0,1,0,1,0,0,0.114,0.294,0.093,0.187,0.820,1
657,TX,Texas,48,1998,TX1998,0.505,1.2,48.1,52.7,0.523,0.520,0.010,0.024,-0.034,0.059,0.010,0.040,0.004,0.015,0.013,0.018,98,150,78,3,TX3,5,150,,,0,0,0,1,0,1,0,0,0.114,0.307,0.093,0.187,0.822,1
658,TX,Texas,48,2000,TX2000,0.494,1.1,47.5,51.9,0.537,0.520,0.031,0.022,-0.017,0.071,0.031,0.040,0.010,0.002,0.020,0.043,108,150,78,3,TX3,5,150,Y,,0,0,0,1,0,1,0,0,0.113,0.320,0.093,0.187,0.825,1
659,TX,Texas,48,2002,TX2002,0.476,0.8,45.9,49.3,0.417,0.413,-0.039,0.017,-0.074,-0.005,0.039,-0.021,0.031,-0.029,-0.087,-0.060,83,150,62,4,TX4,5,150,,,1,0,1,0,0,0,0,1,0.113,0.331,0.093,0.207,0.829,0
660,TX,Texas,48,2004,TX2004,0.472,0.5,46.2,48.3,0.433,0.420,-0.025,0.010,-0.045,-0.004,0.025,-0.021,-0.039,-0.019,-0.067,-0.039,90,150,63,4,TX4,5,150,,,0,0,1,0,0,0,0,1,0.114,0.342,0.093,0.200,0.834,0
661,TX,Texas,48,2006,TX2006,0.487,0.8,47.3,50.3,0.447,0.460,-0.014,0.015,-0.045,0.014,0.014,-0.021,-0.025,-0.015,-0.033,-0.040,80,150,69,4,TX4,5,150,,,0,0,1,0,0,0,0,1,0.114,0.354,0.093,0.207,0.838,0
662,TX,Texas,48,2008,TX2008,0.501,0.6,49.1,51.5,0.494,0.493,-0.009,0.012,-0.037,0.012,0.009,-0.021,-0.014,0.013,-0.007,-0.007,79,150,74,4,TX4,5,150,Y,,0,0,1,0,0,0,0,1,0.115,0.365,0.093,0.207,0.843,0
663,TX,Texas,48,2010,TX2010,0.428,0.8,41.3,44.6,0.392,0.340,-0.016,0.017,-0.053,0.015,0.016,-0.021,-0.009,-0.031,-0.033,-0.035,93,150,51,4,TX4,5,150,,,0,0,1,0,0,0,0,1,0.115,0.376,0.113,0.207,0.847,0
664,TX,Texas,48,2012,TX2012,0.462,0.3,45.7,46.7,0.398,0.367,-0.057,0.006,-0.068,-0.047,0.057,-0.057,-0.016,-0.069,-0.107,-0.064,98,150,55,5,TX5,1,150,,0.099,1,0,0,1,0,0,1,0,0.115,0.387,0.120,0.227,0.851,-1
665,TX,Texas,48,2014,TX2014,0.432,1.0,41.3,45.1,0.352,0.347,-0.017,0.019,-0.055,0.020,0.017,-0.017,-0.057,,-0.113,-0.080,103,150,52,5.1,TX5.1,1,150,,,1,0,0,1,0,0,1,0,0.116,0.398,0.107,0.233,0.856,-1
666,UT,Utah,49,1972,UT1972,0.471,0.3,46.5,47.6,0.459,0.427,-0.014,0.006,-0.025,-0.004,0.014,-0.020,,-0.020,-0.047,-0.011,16,75,32,1,UT1,5,75,,,1,0,0,0,1,0,0,1,0.006,0.041,0.000,0.000,0.812,0
667,UT,Utah,49,1974,UT1974,0.521,0.2,51.7,52.5,0.510,0.533,-0.008,0.004,-0.017,0.000,0.008,-0.020,-0.014,-0.019,-0.020,-0.011,5,75,40,1,UT1,5,75,,,0,0,0,0,1,0,0,1,0.006,0.041,0.000,0.000,0.820,0
668,UT,Utah,49,1976,UT1976,0.468,0.2,46.3,47.3,0.478,0.467,0.031,0.005,0.022,0.040,0.031,-0.020,-0.008,0.017,0.033,0.010,7,75,35,1,UT1,5,75,,,0,0,0,0,1,0,0,1,0.006,0.041,0.013,0.000,0.828,0
669,UT,Utah,49,1978,UT1978,0.431,0.3,42.6,43.5,0.429,0.320,-0.041,0.005,-0.051,-0.032,0.041,-0.020,0.031,-0.058,-0.020,-0.001,7,75,24,1,UT1,5,75,,,0,0,0,0,1,0,0,1,0.006,0.041,0.000,0.000,0.836,0
670,UT,Utah,49,1980,UT1980,0.398,0.3,39.2,40.5,0.384,0.227,-0.070,0.006,-0.083,-0.058,0.070,-0.020,-0.041,-0.083,-0.073,-0.014,7,75,17,1,UT1,5,75,,,0,0,0,0,1,0,0,1,0.006,0.041,0.013,0.000,0.844,0
671,UT,Utah,49,1982,UT1982,0.411,0.4,40.3,41.8,0.395,0.227,-0.095,0.008,-0.110,-0.079,0.095,-0.058,-0.070,-0.118,-0.033,-0.016,16,75,17,2,UT2,5,75,,,1,0,0,1,0,0,1,0,0.006,0.043,0.000,0.000,0.849,-1
672,UT,Utah,49,1984,UT1984,0.390,0.4,38.1,39.8,0.378,0.187,-0.093,0.008,-0.110,-0.076,0.093,-0.058,-0.095,-0.118,-0.047,-0.012,19,75,14,2,UT2,5,75,,,0,0,0,1,0,0,1,0,0.006,0.044,0.000,0.000,0.854,-1
673,UT,Utah,49,1986,UT1986,0.465,0.4,45.6,47.3,0.434,0.360,-0.070,0.009,-0.087,-0.052,0.070,-0.058,-0.093,-0.080,-0.060,-0.031,20,75,27,2,UT2,5,75,,,0,0,0,1,0,0,1,0,0.006,0.046,0.000,0.000,0.858,-1
674,UT,Utah,49,1988,UT1988,0.444,0.4,43.7,45.2,0.437,0.373,-0.015,0.008,-0.031,0.000,0.015,-0.058,-0.070,-0.033,-0.020,-0.007,13,75,28,2,UT2,5,75,,,0,0,0,1,0,0,1,0,0.006,0.047,0.000,0.000,0.863,-1
675,UT,Utah,49,1990,UT1990,0.464,0.7,45.1,47.8,0.443,0.413,-0.016,0.014,-0.042,0.012,0.016,-0.058,-0.015,-0.019,-0.020,-0.022,28,75,31,2,UT2,5,75,,,0,0,0,1,0,0,1,0,0.006,0.049,0.000,0.000,0.868,-1
676,UT,Utah,49,1992,UT1992,0.442,0.5,43.3,45.2,0.440,0.333,-0.051,0.010,-0.071,-0.032,0.051,-0.032,-0.016,-0.044,-0.033,-0.002,17,75,25,3,UT3,5,75,,,1,0,0,1,0,0,1,0,0.006,0.057,0.000,0.013,0.871,-1
677,UT,Utah,49,1994,UT1994,0.388,0.5,37.9,39.8,0.379,0.267,-0.010,0.009,-0.028,0.008,0.010,-0.032,-0.051,-0.028,-0.007,-0.009,19,75,20,3,UT3,5,75,,,0,0,0,1,0,0,1,0,0.006,0.065,0.000,0.027,0.874,-1
678,UT,Utah,49,1996,UT1996,0.397,0.9,37.9,41.5,0.387,0.267,-0.028,0.018,-0.063,0.008,0.028,-0.032,-0.010,-0.045,-0.020,-0.011,29,75,20,3,UT3,5,75,,,0,0,0,1,0,0,1,0,0.007,0.074,0.013,0.013,0.876,-1
