district,year,plan,winner,winner_plan
6,2010,AL4,R,R
7,2010,AL4,D,D
1,2012,AL5,R,R
2,2012,AL5,R,R
3,2012,AL5,R,R
4,2012,AL5,R,R
5,2012,AL5,R,R
6,2012,AL5,R,R
7,2012,AL5,D,D
1,2014,AL5,R,R
2,2014,AL5,R,R
3,2014,AL5,R,R
4,2014,AL5,R,R
5,2014,AL5,R,R
6,2014,AL5,R,R
7,2014,AL5,D,D
1,2016,AL5,R,R
2,2016,AL5,R,R
3,2016,AL5,R,R
4,2016,AL5,R,R
5,2016,AL5,R,R
6,2016,AL5,R,R
7,2016,AL5,D,D
1,2002,AZ4,R,X
2,2002,AZ4,R,R
3,2002,AZ4,R,R
4,2002,AZ4,D,D
5,2002,AZ4,R,X
6,2002,AZ4,R,R
7,2002,AZ4,D,D
8,2002,AZ4,R,X
1,2004,AZ4,R,X
2,2004,AZ4,R,R
3,2004,AZ4,R,R
4,2004,AZ4,D,D
5,2004,AZ4,R,X
6,2004,AZ4,R,R
7,2004,AZ4,D,D
8,2004,AZ4,R,X
1,2006,AZ4,R,X
2,2006,AZ4,R,R
3,2006,AZ4,R,R
4,2006,AZ4,D,D
5,2006,AZ4,D,X
6,2006,AZ4,R,R
7,2006,AZ4,D,D
8,2006,AZ4,D,X
1,2008,AZ4,D,X
2,2008,AZ4,R,R
3,2008,AZ4,R,R
4,2008,AZ4,D,D
5,2008,AZ4,D,X
6,2008,AZ4,R,R
7,2008,AZ4,D,D
8,2008,AZ4,D,X
1,2010,AZ4,R,X
2,2010,AZ4,R,R
3,2010,AZ4,R,R
4,2010,AZ4,D,D
5,2010,AZ4,R,X
6,2010,AZ4,R,R
7,2010,AZ4,D,D
8,2010,AZ4,D,X
1,2012,AZ5,D,D
2,2012,AZ5,D,X
3,2012,AZ5,D,D
4,2012,AZ5,R,R
5,2012,AZ5,R,R
6,2012,AZ5,R,R
7,2012,AZ5,D,D
8,2012,AZ5,R,R
9,2012,AZ5,D,D
1,2014,AZ5,D,D
2,2014,AZ5,R,X
3,2014,AZ5,D,D
4,2014,AZ5,R,R
5,2014,AZ5,R,R
6,2014,AZ5,R,R
7,2014,AZ5,D,D
8,2014,AZ5,R,R
9,2014,AZ5,D,D
1,2016,AZ5,D,D
2,2016,AZ5,R,X
3,2016,AZ5,D,D
4,2016,AZ5,R,R
5,2016,AZ5,R,R
6,2016,AZ5,R,R
7,2016,AZ5,D,D
8,2016,AZ5,R,R
9,2016,AZ5,D,D
1,1972,CA1,R,R
2,1972,CA1,D,D
3,1972,CA1,D,D
4,1972,CA1,D,D
5,1972,CA1,D,D
6,1972,CA1,R,R
7,1972,CA1,D,D
8,1972,CA1,D,D
9,1972,CA1,D,D
10,1972,CA1,R,R
11,1972,CA1,D,D
12,1972,CA1,R,R
13,1972,CA1,R,R
14,1972,CA1,D,D
15,1972,CA1,D,D
16,1972,CA1,D,D
17,1972,CA1,R,R
18,1972,CA1,R,R
19,1972,CA1,D,D
20,1972,CA1,R,R
21,1972,CA1,D,D
22,1972,CA1,D,D
