shape_id,county_name,precinct_id,sen_red,sen_blue,con_districts,con_contested,con_red_votes,con_blue_votes,sldu_districts,sldu_contested,sldu_red_votes,sldu_blue_votes,sldl_districts,sldl_contested,sldl_red_votes,sldl_blue_votes,population,white_pop,black_pop,asian_pop,hispanic_pop,other_pop,median_age,median_income,education_pop,school_pop,diploma_pop,college_pop,graduate_pop,area_km2,con_imputed,sldu_imputed,sldl_imputed
1710,MECKLENBURG,124,110,851,12,Yes,302,1597,3740,No,109,865,99,No,117,886,4183,683,1869,271,1199,162,32,35162,2623,606,990,927,100,3,No,Yes,Yes
1711,MECKLENBURG,125,121,392,12,Yes,289,735,40,No,123,387,100,No,128,398,2411,775,1029,31,522,54,34,54638,1443,115,512,741,75,3,No,Yes,Yes
1712,MECKLENBURG,126,154,1020,12,Yes,433,1878,40,No,165,975,106,Yes,146,971,5940,933,3182,912,697,216,32,51217,4203,257,1094,2405,447,10,No,Yes,No
1498,MECKLENBURG,127,1234,839,9,No,1359,856,41,Yes,1399,670,98,Yes,1206,910,5193,4530,121,105,386,52,41,158949,3335,89,373,1710,1163,23,Yes,No,No
1713,MECKLENBURG,128,478,805,9,No,596,939,38,Yes,492,773,107,No,474,754,4262,1989,1651,194,259,169,36,65859,2960,51,573,1861,475,3,Yes,No,Yes
1714,MECKLENBURG,129,106,231,9,No,149,287,37,No,103,228,105,No,104,220,3028,1607,793,111,468,49,34,40659,2174,118,644,1272,140,4,Yes,Yes,Yes
1740,MECKLENBURG,130,156,441,12,Yes,379,824,40,No,150,439,100,No,154,445,3954,1021,1805,300,788,41,29,36587,2230,462,747,873,148,2,No,Yes,Yes
1741,MECKLENBURG,131,582,344,9,No,631,347,39,No,601,322,104,No,588,319,2402,1971,291,80,59,0,46,82169,1716,35,213,1079,389,2,Yes,Yes,Yes
1742,MECKLENBURG,132,201,561,12,Yes,491,1053,40,No,205,549,106,Yes,210,540,3435,1119,1421,29,767,101,35,52609,2184,580,526,948,130,5,No,Yes,No
1743,MECKLENBURG,133,1208,690,9,No,1371,706,41,Yes,1309,585,98,Yes,1218,691,7346,5984,604,304,299,154,36,90971,4659,224,809,2880,746,11,Yes,No,No
1744,MECKLENBURG,134,1136,1080,9,No,1303,1120,41,Yes,1285,959,92,Yes,1251,1011,6578,5253,786,56,378,105,35,77231,4207,136,835,2602,634,14,Yes,No,No
1745,MECKLENBURG,135,271,1976,12,Yes,720,3743,38,Yes,282,1948,106,Yes,281,1953,13587,2648,7833,373,2225,507,30,48714,8473,996,2853,3919,706,13,No,No,No
1746,MECKLENBURG,136,621,409,9,No,670,398,41,Yes,696,326,103,No,640,371,3829,3302,127,187,109,103,43,96205,2598,91,554,1544,409,7,Yes,No,Yes
2235,MECKLENBURG,137,1559,812,9,No,1735,832,39,No,1621,647,105,No,1581,668,8163,5701,472,1445,204,342,40,129466,5146,142,575,3286,1143,9,Yes,Yes,Yes
1747,MECKLENBURG,138,188,723,12,Yes,463,1385,37,No,194,732,92102,"No,Yes",202,752,2769,604,1159,267,664,76,35,43566,1876,239,566,932,139,8,No,Yes,Yes
1776,MECKLENBURG,139.1,800,575,9,No,897,588,39,No,825,521,105,No,812,512,5173,3697,352,758,231,135,38,91616,3237,84,447,2000,705,4,Yes,Yes,Yes
1777,MECKLENBURG,140,1237,897,9,No,1386,922,39,No,1276,782,105,No,1248,772,8870,5953,407,1087,1034,388,38,100701,6067,116,573,3900,1477,7,Yes,Yes,Yes
1779,MECKLENBURG,141,122,465,12,Yes,289,894,38,Yes,128,455,106107,"No,Yes",115,418,7740,3479,2421,877,548,416,21,29564,1850,169,441,1099,141,7,No,No,Yes
1780,MECKLENBURG,142,1294,862,9,No,1442,867,41,Yes,1439,721,92098,Yes,875,525,8873,7764,472,244,257,136,39,101189,6246,188,1230,3483,1345,22,Yes,No,No
1781,MECKLENBURG,143,1449,958,9,No,1643,988,41,Yes,1641,768,92,Yes,1637,780,7574,6177,641,168,259,329,36,105789,4886,50,783,3157,895,7,Yes,No,No
1778,MECKLENBURG,144,940,660,9,No,1044,669,39,No,983,583,105,No,967,581,5168,3926,281,396,400,165,39,105372,3385,77,489,2068,751,5,Yes,Yes,Yes
1488,MECKLENBURG,145,1490,2242,9,No,1802,2516,41,Yes,1651,2068,98,Yes,1571,2164,12004,7227,3296,466,679,335,36,82814,7840,191,1359,4993,1297,10,Yes,No,No
1661,MECKLENBURG,146,199,1201,12,Yes,555,2252,40,No,211,1165,106,Yes,207,1169,6247,1274,3253,1029,466,224,29,50894,4053,89,1112,2112,741,5,No,Yes,No
1537,MECKLENBURG,147,149,996,12,Yes,397,1854,38,Yes,154,961,102,No,162,980,7848,1470,3101,618,2488,172,34,44496,5288,1205,1546,2129,408,7,No,No,Yes
1748,MECKLENBURG,148,1805,1616,9,No,2102,1716,39,No,1867,1395,105,No,1834,1388,15517,9702,1136,2953,1253,473,35,107000,10035,163,1429,6046,2397,12,Yes,Yes,Yes
1496,MECKLENBURG,149,280,1530,12,Yes,688,2913,40,No,302,1496,99,No,304,1520,6825,1375,3363,595,1184,308,32,49705,4219,382,1013,2466,357,10,No,Yes,Yes
1437,MECKLENBURG,150,437,902,9,No,581,1098,3841,Yes,450,864,101,No,431,860,5789,2686,2531,94,246,232,36,63689,3879,352,1293,1969,265,10,Yes,No,Yes
1473,MECKLENBURG,151,325,1142,12,Yes,833,2126,3841,Yes,312,1040,107,No,358,1131,5291,2286,1933,382,621,69,35,60840,3602,310,690,2127,474,7,No,No,Yes
1783,MECKLENBURG,200,345,289,9,No,400,297,3738,"No,Yes",340,310,92,Yes,371,279,3050,1555,624,127,659,85,40,38214,2069,394,793,738,144,31,Yes,Yes,No
1784,MECKLENBURG,201,696,1628,8,Yes,781,1571,4041,"No,Yes",716,1561,99103,No,688,1503,8184,3183,3573,99,977,352,34,64188,5160,371,1240,2945,604,21,No,Yes,Yes
1497,MECKLENBURG,202,1440,1295,9,No,1670,1342,41,Yes,1685,1058,98,Yes,1476,1298,15401,12102,1047,596,1389,267,35,80785,10199,655,2310,5734,1500,31,Yes,No,No
1785,MECKLENBURG,203,423,1489,12,Yes,1017,2788,4041,"No,Yes",442,1420,99103,No,445,1449,9021,2908,4306,365,1259,182,35,62592,5883,505,1543,3174,661,16,No,Yes,Yes
1495,MECKLENBURG,204.1,290,1667,12,Yes,715,3164,4041,"No,Yes",354,1541,99,No,341,1564,6483,1836,3600,112,825,109,32,80167,4106,77,522,2435,1071,7,No,Yes,Yes
1786,MECKLENBURG,205,507,842,12,Yes,1117,1551,4041,"No,Yes",512,811,99103,No,526,832,6034,2346,2460,173,986,69,36,70487,3824,431,1125,1765,503,15,No,Yes,Yes
1499,MECKLENBURG,206,833,1404,9,No,1009,1506,41,Yes,1028,1173,98,Yes,821,1463,6351,4583,946,119,520,184,27,62525,3317,116,679,1683,839,11,Yes,No,No
1787,MECKLENBURG,207,1277,785,9,No,1418,789,41,Yes,1437,646,98,Yes,1288,813,4804,3895,342,149,294,125,37,94296,3152,182,507,1943,519,13,Yes,No,No
1491,MECKLENBURG,208,1399,737,9,No,1498,716,41,Yes,1600,561,98,Yes,1396,770,5269,4976,202,22,63,6,45,95436,3983,54,705,2326,898,7,Yes,No,No
1788,MECKLENBURG,209,1011,852,9,No,1211,923,41,Yes,1130,733,92101,"No,Yes",1011,789,9370,6648,1585,150,732,257,36,79211,6149,421,1569,3242,916,47,Yes,No,Yes
1789,MECKLENBURG,210,205,2250,12,Yes,555,4288,38,Yes,216,2188,101107,No,211,2202,10471,1407,7568,210,930,357,33,51670,6796,1094,2175,2867,660,15,No,No,Yes
1790,MECKLENBURG,211,673,2209,12,Yes,1643,4162,3841,Yes,479,1802,101107,No,730,2143,13322,6088,5069,474,1211,480,34,65965,8999,391,2045,5168,1395,23,No,No,Yes
1791,MECKLENBURG,212,571,2484,12,Yes,1407,4724,3841,Yes,424,1962,107,No,609,2312,19061,6022,7537,3685,1378,439,30,59895,11480,537,2369,6243,2331,26,No,No,Yes
